Distance (miles),Property URL 1,Property URL 2,Property 1 - Bedrooms,Property 1 - Bathrooms,Property 1 - Type,Property 1 - Rent (USD),Property 2 - Bedrooms,Property 2 - Bathrooms,Property 2 - Type,Property 2 - Rent (USD)
0.298558779,https://www.zillow.com/homedetails/505-W-Buena-Vista-Ave-505-North-Augusta-SC-29841/2068610074_zpid/,https://www.zillow.com/homedetails/309-Lake-Ave-North-Augusta-SC-29841/2061725520_zpid/,2,2,Townhouse,1220,2,2,Single Family,1075
0.322187117,https://www.zillow.com/homedetails/445-Pleasant-Home-Rd-Augusta-GA-30907/14938709_zpid/,https://www.zillow.com/homedetails/4-Londonberry-Ln-Augusta-GA-30907/446915675_zpid/,3,2,Townhouse,1325,2,2,Townhouse,1200
0.329986347,https://www.zillow.com/homedetails/2507-N-View-Ave-1-2-Augusta-GA-30904/448389176_zpid/,https://www.zillow.com/homedetails/518-2nd-Ave-Augusta-GA-30904/14945635_zpid/,3,1,Townhouse,1250,3,1,Single Family,1100
0.331568065,https://www.zillow.com/homedetails/317-East-Ave-North-Augusta-SC-29841/443402302_zpid/,https://www.zillow.com/homedetails/309-Lake-Ave-North-Augusta-SC-29841/2061725520_zpid/,2,1,Townhouse,1295,2,2,Single Family,1075
0.333374836,https://www.zillow.com/homedetails/309-Lake-Ave-North-Augusta-SC-29841/2061725520_zpid/,https://www.zillow.com/homedetails/635-Park-Ave-North-Augusta-SC-29841/52166055_zpid/,2,2,Single Family,1075,2,1,Single Family,1295
0.339039105,https://www.zillow.com/homedetails/1743-Jenkins-St-Augusta-GA-30904/14948071_zpid/,https://www.zillow.com/homedetails/1014-Merry-St-Augusta-GA-30904/14951142_zpid/,2,1,Single Family,900,3,1,Single Family,1250
0.364135379,https://www.zillow.com/homedetails/4-Londonberry-Ln-Augusta-GA-30907/446915675_zpid/,https://www.zillow.com/homedetails/2305-Greengate-Dr-2301-Augusta-GA-30907/2079858113_zpid/,2,2,Townhouse,1200,3,2,Townhouse,1250
0.371323355,https://www.zillow.com/homedetails/1912-Watkins-St-Augusta-GA-30904/14947376_zpid/,https://www.zillow.com/homedetails/220-Metcalf-St-Augusta-GA-30904/14946645_zpid/,3,1,Single Family,1300,3,2,Single Family,1300
0.379435703,https://www.zillow.com/homedetails/423-Alta-Vista-Ave-North-Augusta-SC-29841/296354012_zpid/,https://www.zillow.com/homedetails/309-Lake-Ave-North-Augusta-SC-29841/2061725520_zpid/,2,2,Single Family,1000,2,2,Single Family,1075
0.380825311,https://www.zillow.com/homedetails/1405-Anthony-Rd-B-Augusta-GA-30904/2062616433_zpid/,https://www.zillow.com/homedetails/2113-Richmond-Ave-Augusta-GA-30904/14950791_zpid/,2,2,Townhouse,1095,2,1,Single Family,1400
0.39080227,https://www.zillow.com/homedetails/1912-Watkins-St-Augusta-GA-30904/14947376_zpid/,https://www.zillow.com/homedetails/2036-Ellis-St-Augusta-GA-30904/14946655_zpid/,3,1,Single Family,1300,3,2,Single Family,1300
0.394202621,https://www.zillow.com/homedetails/2085-Heckle-St-Augusta-GA-30904/14947333_zpid/,https://www.zillow.com/homedetails/1923-Fenwick-St-Augusta-GA-30904/14947382_zpid/,3,1,Single Family,1235,3,1,Single Family,1175
0.395367232,https://www.zillow.com/homedetails/2224-Queens-Way-Augusta-GA-30904/2068830396_zpid/,https://www.zillow.com/homedetails/2113-Richmond-Ave-Augusta-GA-30904/14950791_zpid/,2,1,Single Family,1050,2,1,Single Family,1400
0.404806833,https://www.zillow.com/homedetails/612-W-Buena-Vista-Ave-North-Augusta-SC-29841/52164826_zpid/,https://www.zillow.com/homedetails/309-Lake-Ave-North-Augusta-SC-29841/2061725520_zpid/,2,1,Single Family,950,2,2,Single Family,1075
0.409901142,https://www.zillow.com/homedetails/445-Pleasant-Home-Rd-Augusta-GA-30907/14938709_zpid/,https://www.zillow.com/homedetails/34-Innisbrook-Dr-Augusta-GA-30907/14938673_zpid/,3,2,Townhouse,1325,2,2,Townhouse,1350
0.421683734,https://www.zillow.com/homedetails/1923-Fenwick-St-Augusta-GA-30904/14947382_zpid/,https://www.zillow.com/homedetails/1004-Holden-St-Augusta-GA-30904/138792385_zpid/,3,1,Single Family,1175,2,2,Single Family,1395
0.423854268,https://www.zillow.com/homedetails/220-Metcalf-St-Augusta-GA-30904/14946645_zpid/,https://www.zillow.com/homedetails/1923-Fenwick-St-Augusta-GA-30904/14947382_zpid/,3,2,Single Family,1300,3,1,Single Family,1175
0.427076488,https://www.zillow.com/homedetails/2209-Thicket-Ct-Augusta-GA-30907/14935427_zpid/,https://www.zillow.com/homedetails/3020-Silverwood-Dr-Augusta-GA-30907/14935239_zpid/,2,2,Townhouse,1050,3,2,Single Family,1500
0.430506349,https://www.zillow.com/homedetails/1923-Fenwick-St-Augusta-GA-30904/14947382_zpid/,https://www.zillow.com/homedetails/1014-Merry-St-Augusta-GA-30904/14951142_zpid/,3,1,Single Family,1175,3,1,Single Family,1250
0.432956218,https://www.zillow.com/homedetails/1923-Fenwick-St-Augusta-GA-30904/14947382_zpid/,https://www.zillow.com/homedetails/2036-Ellis-St-Augusta-GA-30904/14946655_zpid/,3,1,Single Family,1175,3,2,Single Family,1300
0.433659257,https://www.zillow.com/homedetails/34-Innisbrook-Dr-Augusta-GA-30907/14938673_zpid/,https://www.zillow.com/homedetails/39-Tiburon-Trl-Augusta-GA-30907/14935771_zpid/,2,2,Townhouse,1350,2,2,Townhouse,1225
0.433822174,https://www.zillow.com/homedetails/2113-Richmond-Ave-Augusta-GA-30904/14950791_zpid/,https://www.zillow.com/homedetails/1406-Johns-Rd-Augusta-GA-30904/14950230_zpid/,2,1,Single Family,1400,2,1,Single Family,1250
0.434961916,https://www.zillow.com/homedetails/2224-Queens-Way-Augusta-GA-30904/2068830396_zpid/,https://www.zillow.com/homedetails/966-Meigs-St-Augusta-GA-30904/14950301_zpid/,2,1,Single Family,1050,2,2,Single Family,1400
0.444206873,https://www.zillow.com/homedetails/2085-Heckle-St-Augusta-GA-30904/14947333_zpid/,https://www.zillow.com/homedetails/1014-Merry-St-Augusta-GA-30904/14951142_zpid/,3,1,Single Family,1235,3,1,Single Family,1250
0.447993697,https://www.zillow.com/homedetails/2305-Greengate-Dr-2301-Augusta-GA-30907/2079858113_zpid/,https://www.zillow.com/homedetails/34-Innisbrook-Dr-Augusta-GA-30907/14938673_zpid/,3,2,Townhouse,1250,2,2,Townhouse,1350
0.450966036,https://www.zillow.com/homedetails/1912-Watkins-St-Augusta-GA-30904/14947376_zpid/,https://www.zillow.com/homedetails/2085-Heckle-St-Augusta-GA-30904/14947333_zpid/,3,1,Single Family,1300,3,1,Single Family,1235
0.465786086,https://www.zillow.com/homedetails/1405-Anthony-Rd-B-Augusta-GA-30904/2062616433_zpid/,https://www.zillow.com/homedetails/966-Meigs-St-Augusta-GA-30904/14950301_zpid/,2,2,Townhouse,1095,2,2,Single Family,1400
0.468082314,https://www.zillow.com/homedetails/1129-Merry-St-Augusta-GA-30904/14951178_zpid/,https://www.zillow.com/homedetails/1743-Jenkins-St-Augusta-GA-30904/14948071_zpid/,2,1,Single Family,1050,2,1,Single Family,900
0.478444372,https://www.zillow.com/homedetails/1912-Watkins-St-Augusta-GA-30904/14947376_zpid/,https://www.zillow.com/homedetails/1004-Holden-St-Augusta-GA-30904/138792385_zpid/,3,1,Single Family,1300,2,2,Single Family,1395
0.479993923,https://www.zillow.com/homedetails/4-Londonberry-Ln-Augusta-GA-30907/446915675_zpid/,https://www.zillow.com/homedetails/39-Tiburon-Trl-Augusta-GA-30907/14935771_zpid/,2,2,Townhouse,1200,2,2,Townhouse,1225
0.489710106,https://www.zillow.com/homedetails/1743-Jenkins-St-Augusta-GA-30904/14948071_zpid/,https://www.zillow.com/homedetails/1240-Holden-Dr-Augusta-GA-30904/2113440238_zpid/,2,1,Single Family,900,2,1,Townhouse,1195
0.491720646,https://www.zillow.com/homedetails/2085-Heckle-St-Augusta-GA-30904/14947333_zpid/,https://www.zillow.com/homedetails/966-Meigs-St-Augusta-GA-30904/14950301_zpid/,3,1,Single Family,1235,2,2,Single Family,1400
0.492502094,https://www.zillow.com/homedetails/1912-Watkins-St-Augusta-GA-30904/14947376_zpid/,https://www.zillow.com/homedetails/1014-Merry-St-Augusta-GA-30904/14951142_zpid/,3,1,Single Family,1300,3,1,Single Family,1250
0.493298653,https://www.zillow.com/homedetails/2085-Heckle-St-Augusta-GA-30904/14947333_zpid/,https://www.zillow.com/homedetails/1004-Holden-St-Augusta-GA-30904/138792385_zpid/,3,1,Single Family,1235,2,2,Single Family,1395
0.502295739,https://www.zillow.com/homedetails/1530-Whitney-St-A-Augusta-GA-30904/2072820864_zpid/,https://www.zillow.com/homedetails/1704-Johns-Rd-Augusta-GA-30904/353210807_zpid/,2,1,Townhouse,900,2,1,Single Family,1199
0.517064522,https://www.zillow.com/homedetails/966-Meigs-St-Augusta-GA-30904/14950301_zpid/,https://www.zillow.com/homedetails/1406-Johns-Rd-Augusta-GA-30904/14950230_zpid/,2,2,Single Family,1400,2,1,Single Family,1250
0.531554184,https://www.zillow.com/homedetails/1704-Johns-Rd-Augusta-GA-30904/353210807_zpid/,https://www.zillow.com/homedetails/1406-Johns-Rd-Augusta-GA-30904/14950230_zpid/,2,1,Single Family,1199,2,1,Single Family,1250
0.537759142,https://www.zillow.com/homedetails/1405-Anthony-Rd-B-Augusta-GA-30904/2062616433_zpid/,https://www.zillow.com/homedetails/1704-Johns-Rd-Augusta-GA-30904/353210807_zpid/,2,2,Townhouse,1095,2,1,Single Family,1199
0.541497411,https://www.zillow.com/homedetails/1704-Johns-Rd-Augusta-GA-30904/353210807_zpid/,https://www.zillow.com/homedetails/1515-Whitney-St-Augusta-GA-30904/81514382_zpid/,2,1,Single Family,1199,2,1,Townhouse,850
0.553670887,https://www.zillow.com/homedetails/1129-Merry-St-Augusta-GA-30904/14951178_zpid/,https://www.zillow.com/homedetails/2085-Heckle-St-Augusta-GA-30904/14947333_zpid/,2,1,Single Family,1050,3,1,Single Family,1235
0.564848314,https://www.zillow.com/homedetails/2085-Heckle-St-Augusta-GA-30904/14947333_zpid/,https://www.zillow.com/homedetails/1743-Jenkins-St-Augusta-GA-30904/14948071_zpid/,3,1,Single Family,1235,2,1,Single Family,900
0.570756933,https://www.zillow.com/homedetails/1912-Watkins-St-Augusta-GA-30904/14947376_zpid/,https://www.zillow.com/homedetails/2032-Edgar-St-Augusta-GA-30904/14942952_zpid/,3,1,Single Family,1300,2,1,Single Family,900
0.584734934,https://www.zillow.com/homedetails/1129-Merry-St-Augusta-GA-30904/14951178_zpid/,https://www.zillow.com/homedetails/1923-Fenwick-St-Augusta-GA-30904/14947382_zpid/,2,1,Single Family,1050,3,1,Single Family,1175
0.600015339,https://www.zillow.com/homedetails/317-East-Ave-North-Augusta-SC-29841/443402302_zpid/,https://www.zillow.com/homedetails/635-Park-Ave-North-Augusta-SC-29841/52166055_zpid/,2,1,Townhouse,1295,2,1,Single Family,1295
0.605371001,https://www.zillow.com/homedetails/2224-Queens-Way-Augusta-GA-30904/2068830396_zpid/,https://www.zillow.com/homedetails/1704-Johns-Rd-Augusta-GA-30904/353210807_zpid/,2,1,Single Family,1050,2,1,Single Family,1199
0.606459024,https://www.zillow.com/homedetails/2085-Heckle-St-Augusta-GA-30904/14947333_zpid/,https://www.zillow.com/homedetails/2036-Ellis-St-Augusta-GA-30904/14946655_zpid/,3,1,Single Family,1235,3,2,Single Family,1300
0.607631901,https://www.zillow.com/homedetails/2804-Oakland-Ave-Augusta-GA-30909/14944976_zpid/,https://www.zillow.com/homedetails/518-2nd-Ave-Augusta-GA-30904/14945635_zpid/,3,2,Single Family,1445,3,1,Single Family,1100
0.611781561,https://www.zillow.com/homedetails/1219-Oakdale-Rd-Augusta-GA-30904/14937259_zpid/,https://www.zillow.com/homedetails/3708-River-Watch-Pkwy-Augusta-GA-30907/14212934_zpid/,3,2,Single Family,1500,3,2,Single Family,1500
0.619176756,https://www.zillow.com/homedetails/1129-Merry-St-Augusta-GA-30904/14951178_zpid/,https://www.zillow.com/homedetails/966-Meigs-St-Augusta-GA-30904/14950301_zpid/,2,1,Single Family,1050,2,2,Single Family,1400
0.620882296,https://www.zillow.com/homedetails/1704-Johns-Rd-Augusta-GA-30904/353210807_zpid/,https://www.zillow.com/homedetails/2113-Richmond-Ave-Augusta-GA-30904/14950791_zpid/,2,1,Single Family,1199,2,1,Single Family,1400
0.623449966,https://www.zillow.com/homedetails/2032-Edgar-St-Augusta-GA-30904/14942952_zpid/,https://www.zillow.com/homedetails/1923-Fenwick-St-Augusta-GA-30904/14947382_zpid/,2,1,Single Family,900,3,1,Single Family,1175
0.626777008,https://www.zillow.com/homedetails/1530-Whitney-St-A-Augusta-GA-30904/2072820864_zpid/,https://www.zillow.com/homedetails/2113-Richmond-Ave-Augusta-GA-30904/14950791_zpid/,2,1,Townhouse,900,2,1,Single Family,1400
0.628148167,https://www.zillow.com/homedetails/505-W-Buena-Vista-Ave-505-North-Augusta-SC-29841/2068610074_zpid/,https://www.zillow.com/homedetails/317-East-Ave-North-Augusta-SC-29841/443402302_zpid/,2,2,Townhouse,1220,2,1,Townhouse,1295
0.633001016,https://www.zillow.com/homedetails/1014-Merry-St-Augusta-GA-30904/14951142_zpid/,https://www.zillow.com/homedetails/966-Meigs-St-Augusta-GA-30904/14950301_zpid/,3,1,Single Family,1250,2,2,Single Family,1400
0.64002572,https://www.zillow.com/homedetails/2113-Richmond-Ave-Augusta-GA-30904/14950791_zpid/,https://www.zillow.com/homedetails/1515-Whitney-St-Augusta-GA-30904/81514382_zpid/,2,1,Single Family,1400,2,1,Townhouse,850
0.643230352,https://www.zillow.com/homedetails/220-Metcalf-St-Augusta-GA-30904/14946645_zpid/,https://www.zillow.com/homedetails/1743-Jenkins-St-Augusta-GA-30904/14948071_zpid/,3,2,Single Family,1300,2,1,Single Family,900
0.64619928,https://www.zillow.com/homedetails/1129-Merry-St-Augusta-GA-30904/14951178_zpid/,https://www.zillow.com/homedetails/1912-Watkins-St-Augusta-GA-30904/14947376_zpid/,2,1,Single Family,1050,3,1,Single Family,1300
0.651718175,https://www.zillow.com/homedetails/2085-Heckle-St-Augusta-GA-30904/14947333_zpid/,https://www.zillow.com/homedetails/220-Metcalf-St-Augusta-GA-30904/14946645_zpid/,3,1,Single Family,1235,3,2,Single Family,1300
0.653631228,https://www.zillow.com/homedetails/1923-Fenwick-St-Augusta-GA-30904/14947382_zpid/,https://www.zillow.com/homedetails/1240-Holden-Dr-Augusta-GA-30904/2113440238_zpid/,3,1,Single Family,1175,2,1,Townhouse,1195
0.671369499,https://www.zillow.com/homedetails/2085-Heckle-St-Augusta-GA-30904/14947333_zpid/,https://www.zillow.com/homedetails/1240-Holden-Dr-Augusta-GA-30904/2113440238_zpid/,3,1,Single Family,1235,2,1,Townhouse,1195
0.672462694,https://www.zillow.com/homedetails/1743-Jenkins-St-Augusta-GA-30904/14948071_zpid/,https://www.zillow.com/homedetails/2036-Ellis-St-Augusta-GA-30904/14946655_zpid/,2,1,Single Family,900,3,2,Single Family,1300
0.702673586,https://www.zillow.com/homedetails/966-Meigs-St-Augusta-GA-30904/14950301_zpid/,https://www.zillow.com/homedetails/1004-Holden-St-Augusta-GA-30904/138792385_zpid/,2,2,Single Family,1400,2,2,Single Family,1395
0.704346971,https://www.zillow.com/homedetails/1129-Merry-St-Augusta-GA-30904/14951178_zpid/,https://www.zillow.com/homedetails/2113-Richmond-Ave-Augusta-GA-30904/14950791_zpid/,2,1,Single Family,1050,2,1,Single Family,1400
0.707646353,https://www.zillow.com/homedetails/423-Alta-Vista-Ave-North-Augusta-SC-29841/296354012_zpid/,https://www.zillow.com/homedetails/317-East-Ave-North-Augusta-SC-29841/443402302_zpid/,2,2,Single Family,1000,2,1,Townhouse,1295
0.709226486,https://www.zillow.com/homedetails/1912-Watkins-St-Augusta-GA-30904/14947376_zpid/,https://www.zillow.com/homedetails/1240-Holden-Dr-Augusta-GA-30904/2113440238_zpid/,3,1,Single Family,1300,2,1,Townhouse,1195
0.726779115,https://www.zillow.com/homedetails/966-Meigs-St-Augusta-GA-30904/14950301_zpid/,https://www.zillow.com/homedetails/1515-Whitney-St-Augusta-GA-30904/81514382_zpid/,2,2,Single Family,1400,2,1,Townhouse,850
0.729269353,https://www.zillow.com/homedetails/1530-Whitney-St-A-Augusta-GA-30904/2072820864_zpid/,https://www.zillow.com/homedetails/966-Meigs-St-Augusta-GA-30904/14950301_zpid/,2,1,Townhouse,900,2,2,Single Family,1400
0.72984848,https://www.zillow.com/homedetails/1205-Norman-St-North-Augusta-SC-29841/52169240_zpid/,https://www.zillow.com/homedetails/608-Carolina-Springs-Rd-North-Augusta-SC-29841/52169539_zpid/,3,2,Single Family,1445,2,1,Single Family,935
0.730107309,https://www.zillow.com/homedetails/2224-Queens-Way-Augusta-GA-30904/2068830396_zpid/,https://www.zillow.com/homedetails/2507-N-View-Ave-1-2-Augusta-GA-30904/448389176_zpid/,2,1,Single Family,1050,3,1,Townhouse,1250
0.731140216,https://www.zillow.com/homedetails/966-Meigs-St-Augusta-GA-30904/14950301_zpid/,https://www.zillow.com/homedetails/1240-Holden-Dr-Augusta-GA-30904/2113440238_zpid/,2,2,Single Family,1400,2,1,Townhouse,1195
0.735693743,https://www.zillow.com/homedetails/317-East-Ave-North-Augusta-SC-29841/443402302_zpid/,https://www.zillow.com/homedetails/612-W-Buena-Vista-Ave-North-Augusta-SC-29841/52164826_zpid/,2,1,Townhouse,1295,2,1,Single Family,950
0.737244573,https://www.zillow.com/homedetails/2507-N-View-Ave-1-2-Augusta-GA-30904/448389176_zpid/,https://www.zillow.com/homedetails/2804-Oakland-Ave-Augusta-GA-30909/14944976_zpid/,3,1,Townhouse,1250,3,2,Single Family,1445
0.758861239,https://www.zillow.com/homedetails/2029-Summer-Valley-Way-Augusta-GA-30909/81510625_zpid/,https://www.zillow.com/homedetails/3708-River-Watch-Pkwy-Augusta-GA-30907/14212934_zpid/,2,2,Townhouse,1250,3,2,Single Family,1500
0.761314576,https://www.zillow.com/homedetails/2085-Heckle-St-Augusta-GA-30904/14947333_zpid/,https://www.zillow.com/homedetails/2113-Richmond-Ave-Augusta-GA-30904/14950791_zpid/,3,1,Single Family,1235,2,1,Single Family,1400
0.769132884,https://www.zillow.com/homedetails/445-Pleasant-Home-Rd-Augusta-GA-30907/14938709_zpid/,https://www.zillow.com/homedetails/39-Tiburon-Trl-Augusta-GA-30907/14935771_zpid/,3,2,Townhouse,1325,2,2,Townhouse,1225
0.776022608,https://www.zillow.com/homedetails/1014-Merry-St-Augusta-GA-30904/14951142_zpid/,https://www.zillow.com/homedetails/2113-Richmond-Ave-Augusta-GA-30904/14950791_zpid/,3,1,Single Family,1250,2,1,Single Family,1400
0.778120204,https://www.zillow.com/homedetails/2507-N-View-Ave-1-2-Augusta-GA-30904/448389176_zpid/,https://www.zillow.com/homedetails/1406-Johns-Rd-Augusta-GA-30904/14950230_zpid/,3,1,Townhouse,1250,2,1,Single Family,1250
0.783758749,https://www.zillow.com/homedetails/2507-N-View-Ave-1-2-Augusta-GA-30904/448389176_zpid/,https://www.zillow.com/homedetails/1515-Whitney-St-Augusta-GA-30904/81514382_zpid/,3,1,Townhouse,1250,2,1,Townhouse,850
0.786364216,https://www.zillow.com/homedetails/1240-Holden-Dr-Augusta-GA-30904/2113440238_zpid/,https://www.zillow.com/homedetails/2113-Richmond-Ave-Augusta-GA-30904/14950791_zpid/,2,1,Townhouse,1195,2,1,Single Family,1400
